Formulation name,Procedure
Acetylsalicylic Acid + Paracetamol (= Acetaminophen) Tablets (250 mg + 250 mg),"Pass all components through a 0.8 mm sieve, mix and press with medium compression force."
Acetylsalicylic Acid + Vitamin C Tablets (325 mg + 250 mg),"Pass all components through a 0.8 mm sieve, mix and press with medium/high compression force."
Acetylsalicylic Acid Tablets (400 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Acetylsalicylic Acid Tablets (500 mg),"Pass all components through a 0.8 mm sieve, mix and press with low compression force."
Acyclovir Oral Suspension (2% = 200 mg/10 ml),Suspend acyclovir and Kollidon CL-M in the solution of the other components under vigorous stirring.
Albendazole Dry Syrup or Instant Granules (200 mg),"Granulate mixture I with solution II, pass through a 0.8 mm screen, dry and sieve again. Fill 50 g of the granules in a 100 ml flask (= dry syrup) or 5 g in sachets (= instant granules)"
Albendazole Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Alginic Acid + Aluminium Hydroxide + Magnesium Silicate Tablets (500 mg + 100 mg + 25 mg),"Pass all components through a 0.8 mm sieve, mix and press with high compression force."
Aloe Vera Gel,Prepare the solutions I and II separtely and add I onto II. Cool this mixture to < 10 °C (or heat to 70 - 80 °C) and dissolve III. Maintain the temperature until the air bubbles escaped.
Alpha-Bisabolol Aqueous Mouth Wash Solution (0.2%),Heat mixture I to about 60 °C and add slowly the warm solution II (60 °C).
Alpha-Bisabolol Buccal or Topical Solution (0.1%),"Heat mixture I to about 60 °C, stirr well and add slowly the warm solu- tion II. A clear solution is obtained."
Alpha-Bisabolol Ethanolic Mouth Wash Solution (1%),Heat mixture I to about 60 °C and add slowly the warm solution II.
Alpha-Bisabolol Mouth Wash Solution (0.5%),Prepare solution I and add slowly the water.
"Alpha-Methyldopa Tablet Cores (250 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with low compression force."
"Alpha-Methyldopa Tablet Cores (250 mg), WG","Granulate mixture I with solution II, pass through a sieve, mix the dry granules with III and press with medium compression force."
"Alpha-Methyldopa Tablets (500 mg), DC","Pass magnesium stearate trough a 0.2 mm sieve and the other compo- nents through a 0.5 mm sieve, mix and press with high compression"
"Alpha-Methyldopa Tablets (500 mg), WG","Granulate the mixture I with solution II, pass through a 0.8 mm sieve, mix with III and press with low/medium compression force."
Alprazolam Tablets (0.5 mg),"Mix all components, sieve through a 0.8 mm screen and press with low compression force."
Aluminium Acetylsalicylate Tablets (250 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with medium compression force."
Aluminium Hydroxide + Magnesium Carbonate Dry Syrup (12.5% + 12.5%),"Granulate mixture I with solution II, pass through a sieve and dry."
Aluminium hydroxide + Magnesium carbonate/oxide + Simethicone Tablets (150 mg + 250 mg + 90 mg),"Granulate mixture I with the simethicone suspension II, dry, sieve through a 0.8 mm screen, add III and press with high compression force."
Aluminium Hydroxide + Magnesium Hydroxide + Simethicone Suspension (8% + 8% + 0.8%),"I. Mix Cremophor RH 40 with simethicone, heat to about 50 °C stirring well and add the warm water. II. Dissolve the flavours and saccharin in water and suspend aluminium hydroxide, magnesium hydroxide and Kollidon CL-M. III. Add emulsion I to the stirred suspension II and adjust the pH to about 9 with citric acid if needed."
Aluminium Hydroxide + Magnesium Hydroxide Chewable Tablets (200 mg + 200 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add III and press with high compression force (20 kN)."
Aluminium Hydroxide + Magnesium Hydroxide Suspension (4% + 4%),"Mix Cremophor RH 40 well with the silicon oil, add the water and sus- pend the solid substances."
Aluminium Hydroxide + Magnesium Silicate Chewable Tablets (120 mg + 250 mg),"Mix all components, pass through a 0.8 mm sieve and press with a compression force of 20 kN."
Ambroxol Tablets (30 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Aminophylline Tablets (90 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, dry, mix with III, pass through a 0.5 mm sieve and press to tablets with medium compression force."
"Aminophylline Tablets (100 mg), I","Mix all components, sieve and press on a rotary press to tablets with low compression force."
"Aminophylline Tablets (100 mg), II","Mix all components, pass through sieve and press with low compression force."
Amitryptylline Tablets (10 mg and 25 mg),"Pass all components through a 0.8 mm sieve, mix intensively and press with low compaction force (8 kN)."
Amoxicillin Dry Syrup (5% = 500 mg/10 ml),Mix all components and fill in a flask.
Amoxicillin Lyophylisate for Injection (250 mg),"Dissolve the active ingredient in the well stirred solution of Kollidon 12 PF and after freeze-drying, fill 500-mg-portions of the dry lyophilisate into ampoules."
Amoxicillin Tablets (125 mg),"Granulate mixture I with solution II, dry, sieve and mix with III. Press with low compression force."
Ampicillin + Cloxacillin Oily Suspension (1.5% + 4.0%),Heat the mixture III to 50 °C and dissolve II. Add the components I and stir during cooling to room temperature.
Ampicillin Dry Syrup (5% = 500 mg/10 ml),Mix all components and fill in a flask.
Ampicillin Tablets (250 mg),"Mix all components, pass through a sieve and press with low compres- sion force."
Ampicillin Tablets (500 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with high/medium compression force."
Anise Oil Solution (1%),"Mix the anise oil with Cremophor RH 40, heat to about 65 °C, stir stron- gly and add slowly the hot solution II."
Asparagus Extract + Parsley Extract Tablets (200 mg + 200 mg),"Pass all components through a 0.8 mm sieve, mix and press with low compression force."
Aspartame Effervescent Tablets (20 mg),"Mix , pass through a 0.5 mm sieve and press to tablets."
"Aspartame Tablets (25 mg), DC","Mix all components, pass through a 0.8 mm sieve and press to tablets with low compression force."
"Aspartame Tablets (25 mg), WG","Granulate the mixture I with II, pass through a 0.8 mm sieve, mix with III and press to tablets."
Atenolol Tablets (90 mg),"Mix all components, pass through a 0.8 mm sieve and press to tablets with low compression force."
Azithromycin Dry Syrup (5% = 500 mg/10 ml),The mixture I is granulated with the solution II. The obtained granules are passed through a 1.0 mm sieve and dried at room temperature. Fill 83 g of the granules in a 100 ml flask.
Azithromycin Suspension (5% = 500 mg/10 ml),Add the mixture I to the solution II and fill with water to a total volume of 100 ml shaking very well.
Azulene solution (1%),Mix azulene and Cremophor RH 40 and heat to about 60 °C. Add slowly the water (60 °C) and cool to room temperature
Barium Sulfate Oral Suspension (23%),Dissolve the preservatives and the carboxy methylcellulose sodium in the hot water and add Kollidon 90 F and sodium bisulfite. In the obtained clear solution suspend barium sulfate.
Basic Cream for Different Active Ingredients,"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature. This basic cream was tested with different active ingredients soluble in 1,2-propylene glycol."
Benzhexol Tablets (5 mg),Mix all components for 10 minutes in a turbula mixer and press with low compression force.
Benzoyl Peroxide + Alpha-Bisabolol Gel (5.0% + 0.2%),Prepare suspension II and let swell during one hour. Add this suspension to the well stirred solution I. Add III.
Benzyl Benzoate Solution (10%),"Heat the mixture of benzyl benzoate and Cremophor RH 40 to about 60 °C, stir strongly and add slowly the water. Finally add the ethanol."
"Benzylpenicilline + Dihydrostreptomycin Injectable Suspension (200,000 units + 200 mg/ml)","Prepare solution II, add the components I to the well stirred solution II and pass through a colloid mill."
Berberine Tablets (5 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Beta Carotene + Vitamin C + Vitamin E Chewable Tablets (10 mg + 500 mg + 250 mg),"Mix all components, pass through a sieve and press with high compres- sion force."
Beta Carotene + Vitamin C + Vitamin E Tablets (6 mg + 100 mg + 30 mg),"Pass all components through o 0.8 mm sieve, mix and press with medium or high compression force."
Beta Carotene + Vitamin C + Vitamin E Tablets (7 mg + 60 mg + 25 mg),"Pass all components through a 0.8 mm sieve, mix and press with low compression force."
Beta Carotene + Vitamin C + Vitamin E Tablets (12 mg + 250 mg + 125 mg),"Mix all components, pass through a sieve and press with medium compression force."
Beta Carotene Effervescent Tablets (7 mg),"Pass all components through o 0.8 mm sieve, mix and press with medium or high compression force at maximum 30% of relative atmos- pheric humidity."
Beta Carotene Tablets (15 mg),"Mix all components, pass through a 0.8 mm sieve and press with a medium compression force."
Beta Carotene Tablets (20 mg),Mix all components and press with a low compression force.
Betamethasone + Neomycin Gel-Cream (0.1% + 0.6%),Dissolve betamethasone valerate in the mixture of Lutrol E 400 and Miglyol 812. Dissolve Lutrol F 127 and neomycin sulfate in water at 5 -10°C. Mix both solutions. Maintain cool until the air bubbles disappeared.
Betamethasone Cream (0.1%),"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature."
Betamethasone Gel (0.1%),Prepare the solution I at room temperature and solution II at about 6 °C (or at > 70 °C). Mix both solutions. Maintain the temperature until the air bubbles disappeared.
Bifonazole Cream (1%),"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature."
"Bran Tablets (250 mg), DC","Mix all components, pass through a sieve and press with medium compression force."
"Bran Tablets (250 mg), WG","Granulate mixture I with solution II, pass through a sieve, mix with III and press with medium compression force."
Bromhexine Tablets (8 mg),"Pass all components through a 0.8 mm sieve, mix and press with low/ medium compression force."
Bromocriptine Tablet Cores (6 mg),"Mix all components, pass through a 0.8 mm sieve and press with high compression force."
Calcium Carbonate Tablets (500 mg),"Granulate mixture I with the water II, pass through a sieve, mix the dry granules with III and press with low compression force."
Calcium Effervescent Tablets (250 mg Ca),"Granulate mixture I with solution II, dry, sieve, mix with III and press with low compression force."
Calcium Gluconate Tablets (350 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with high compression force."
Calcium Glycerophosphate Tablets (200 mg),"Pass all components through a 0.8 mm sieve, mix and press with high compression force."
Calcium Glycerophosphate Tablets (500 mg),"Granulate mixture I with solution II, dry, sieve and mix with III. Press with medium to high compression force."
Calcium Phosphate Tablets for Cats and Dogs (400 mg),
Captopril Tablets (25 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
Carbamazepine Tablets (200 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Carbonyl Iron + Copper Sulfate + Manganese Sulfate Tablets (24 mg + 0.16 mg + 3.5 mg),"Pass all components through a 0.5 mm sieve, mix and press with medium compression force."
Carnitine + Coenzym Q Solution (4.0% + 0.1%),"Heat the mixture I to 60 °C, stir well and add solution II (60 °C). Cool and dissolve III."
Caroate Dispersible Cleaning Tablets (880 mg),"Granulate I with soluton II, pass through a 0.8 mm sieve, dry, mix with the components III and press to tablets."
Caroate Effervescent Cleaning Tablets (650 mg),"Granulate I with soluton II, pass through a 0.8 mm sieve, dry, mix with the components III and press to tablets."
Charcoal Tablets (250 mg),"Granulate mixture I with solution II, pass through a 1 mm sieve, dry until"
Chloramphenicol Ophthalmic Solution (3%),"Dissolve the preservative in hot water, cool, dissolve Kollidon 25, add chloramphenicol and stir until a clear solution is obtained."
Chloramphenicol Palmitate Oral or Topical Emulsion (2.5% = 250 mg/10 ml),Mix components I at 70°C to obtain a clear solution. Cool to 40 °C and add this solution slowly to the well stirred solution II. Fill up with III to 100 ml.
Chloramphenicol Palmitate Oral or Topical Emulsion (5.0% = 500 mg/10 ml),Mix components I at 70°C to obtain a clear solution and cool to about 40 °C. Add the warm solution II slowly to the well stirred solution I.
Chlorhexidine Gel (2%),"Dissolve chlorhexidin diacetate in propylene glycol at > 70 °C, stir well and add slowly Lutrol F 127 and water. Maintain the temperature until the air bubbles escaped."
Chlorhexidine Lozenges (5 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
Chloroquine Tablets (250 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add the mixture III and press with low compression force."
Choline Theophyllinate Tablets (100 mg),Pass all components through a 0.5 mm sieve mix and press with very low compression force.
Chymotrypsine Tablets (27 mg),"Mix all components, pass through a 0.8 mm screen and press with low compression force."
Cimetidine Tablets (200 mg),Pass the mixture through a 0.8 mm screen and press with low compres- sion force.
Cimetidine Tablets (280 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press to tablets with low compression force."
Cimetidine Tablets (400 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press to tablets with low compression force."
Clenbuterol Tablets (20 µg),Mix all components in a turbula mixer and press to tablets with a compression force of 20 kN.
Clobazam Tablets (10 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force (15 kN)."
Clomifen Citrate Tablets (50 mg),"Mix all components, sieve and press with low compression force."
Closantel Veterinary Injectable Solution (12 - 20 g/100 ml),"Dissolve Closantel in solution II and add solution III. The sterilisation can be done by heating (120 °C, 20 min)"
Clotrimazol Topical Solution (3%),"Dissolve Clotrimazol in Cremophor RH 40 at about 60 °C, stir strongly and add slowly the hot solution II."
Clotrimazole Cream (1%),"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature."
Crospovidone Effervescent Tablets (1000 mg),"Granulate mixture I with solution II, pass through a sieve, mix the dry granules with III and press with medium compression force."
Crospovidone Water Dispersible Tablets (1000 mg),"Granulate mixture I with solution II, pass through a sieve, mix the dry granules with III and press with low compression force."
Cyproheptadine Tablet (4 mg),Pass all ingredients through a 0.8 mm sieve. Mix and press with very low compression force (4 kN).
Dexpanthenol Gel-Cream (5%),"Dissolve dexpanthenol and Lutrol E 400 in water, add liquid paraffin and stir heating to 60 - 70°C. Add slowly Lutrol F 127 and stir until it is dissolved. Cool to room temperature stirring continously when the air bubbles disappeared."
Diazepam Injectable Solution (2.5 mg/ml),"Heat mixture I to 60 - 70 °C, stirr well and add very slowly the hot solution II."
Diazepam Tablet (10 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compactation force."
Diclofenac Gel (1%),Dissolve Lutrol F 127 in water at 4 - 6 °C (or at > 70 °C) and mix with the solution of diclofenac sodium in propylene glycol. Maintain the tempera- ture until the air bubbles disappeared.
Diclofenac Gel-Cream (1%),"Dissolve diclofenac sodium in propylene glycol, add the mixture of water and Miglyol 812. Dissolve Lutrol F 127 in this well stirred mixture at 4 - 6 °C (or at >70 °C). Maintain the temperature until the air bubbles escaped."
Diclofenac Injectable Solution (75 mg/3 ml),"Dissolve Kollidon 17 PF in the mixture of propylene glycol, benzyl alcohol and water, add diclofenac sodium and stir until a clear solution is obtained. The sterilisation could be made by aseptic filtration (0.2 µm)."
Diclofenac Oral Solution (1.5%),Dissolve diclofenac sodium in the aqueous solution of the auxiliaries.
Diclofenac Tablet Cores (50 mg),"Granulate mixture I with solvent II, pass through a 0.8 mm sieve, add III and press with low compression force."
Diclofenac Tablets (50 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Diltiazem Tablets (50 mg),"Mix all components, pass through a sieve and press with low compres- sion force."
Dimenhydrinate Tablet Cores (100 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with low compression force."
Dimenhydrinate Tablets (50 mg),"Mix all components, sieve and press with low compression force."
Enteric Film Coating,"Prepare the suspensions I and II separately, mix both and homogenize in a disk mill or in a colloid mill."
Ephedrine Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
Erythromycin Gel (1%),"Heat solution I to about 70 °C, dissolve II, mix with III and cool when the air bubbles escaped."
"Ethambutol Tablets (400 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with medium/high compression force."
"Ethambutol Tablets (400 mg), WG","Granulate mannitol II with solution III, dry, pass through a 0.8 mm sieve, mix with the components I and IV and press with high compression force."
Ethambutol Tablets (800 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add III and press with high compression force."
"Etophylline + Theophylline Tablets (100 mg + 22 mg), DC","Mix all components, pass through a 0.8 mm sieve and press to tablets with low compression force."
"Etophylline + Theophylline Tablets (100 mg + 22 mg), WG","Granulate mixture I with solution II, pass through a 0.8 mm sieve, dry, mix with III, pass through a 0.5 mm sieve and press with medium compression force."
Eucalyptol Solution (8%),"Mix eucalyptol and Cremophor at 65 °C, stir well and add slowly the warm solution II."
Famotidine Tablets (40 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Ferrous Fumarate Tablets (200 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Ferrous Sulfate + Manganese Sulfate + Copper Sulfate Tablets (65 mg + 3.5 mg + 0.16 mg),"Pass all components through a 0.5 mm sieve, mix and press with high compression force."
Ferrous Sulfate Tablets (200 mg),"Mix all components, pass through a 0.8 mm sieve and press to tablets with medium compression force."
Fir Needle Oil Solution (3%),Mix the active ingredients with Cremophor RH 40 and heat to 50 – 60 °C. Add the ethanol and slowly the warm water to the well stirred solution.
Folic Acid Tablets (5 mg),"Mix all components, pass through a 0.8 mm sieve and press to tablets with medium compression force."
Fucidine Tablet Cores (125 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, add the mixture III and press with low compression force."
Furaltadone Injectable Solution (50 mg/ml),"Dissolve the solid substances in water at about 50 °C. The sterilisation can be made by aseptic filtration or by heating (120 °C, 20 min)."
Furosemide Tablets (40 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Furosemide Tablets (200 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Garlic Tablets Cores (100 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press with low compression force."
Glibenclamide Tablets (5 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force (about 10 kN)."
Glutaminic Acid Tablets (550 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve and mix with III. Press with low compression force to tablets."
Gramicidin Ophthalmic Solution (1.3 mg/10 ml),"Mix gramicidin and Cremophor RH 40, heat to about 65 °C, stir and add slowly the heat solution II."
Griseofulvin Tablets (125 mg),"Pass all components through a 0.5 mm sieve, mix and press with low compression force applying a vibrating hopper."
Griseofulvin Tablets (500 mg),"Dissolve mixture I in the solvent II, evaporate to dryness, pass the obtained coprecipitate through a 0.5 mm sieve, mix with III and press with low compression force."
Heparin Gel-Cream (300 i.u./g),"Dissolve heparin sodium in water, add Lutrol E 400 and liquid paraffin, stir and cool to 6 °C. Add slowly Lutrol F 127 and stir until it is dissolved. Heat to room temperature when the air bubbles escaped."
Horsetail Extract Tablets (450 mg),"Granulate the extract I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with high compression force."
Hydrochlorothiazide + Potassium Chloride Tablet Cores (50 mg + 300 mg),"Pass all components through a 0.8 mm sieve, mix and press."
"Hydrochlorothiazide Tablets (50 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with low compression force."
"Hydrochlorothiazide Tablets (50 mg), WG","Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press with low compression force."
Hydrocortisone Aqueous Gels (1%),"Formulation No. 1: Suspend I in the mixture II at 70 °C. Prepare solution II, dilute with the solution IV, heat to 70 °C, and add slowly to the hot mixture I/II. Add solution V and continue to stir until the gel is cool. Formulation No. 2: Suspend I in the mixture II at 70 °C. Prepare solution IV, heat to 70 °C"
Hydrocortisone Cream (1%),"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature."
Hydrocortisone Ethanolic Gel (0.5%),Prepare solution II and mix slowly with solution I.
Ibuprofen Gel-Cream (5%),Prepare solution I and coll to about 8°C. Dissolve II and add III and IV. Maintain cool until the air bubbles escaped.
Ibuprofen Gels (5%),"Heat solution I to 70 - 80 °C, dissolve II, add III and cool."
Ibuprofen Solution (2%),Suspend Ibuprofen in the hot Cremophor RH 40 (about 60 °C) and add slowly the hot solution II.
"Ibuprofen Suspension (4% = 400 mg/10 ml),  I","Dissolve sucrose, Kollidon 90 F and sodium citrate in about 40 ml of water, suspend Kollidon CL-M and ibuprofen in this solution by stirring and add the rest of water."
"Ibuprofen Suspension (4% = 400 mg/10 ml), II",Dissolve Lutrol F 68 and the preservative in water II and ibuprofene in Cremophor RH 40 (I). Add the solution II slowly to the ibuprofene- Cremophor RH 40 mixture I whilst stirring.
"Ibuprofen Tablets (400 mg), DC",
"Ibuprofen Tablets (400 mg), WG","Granulate mannitol or dicalcium-phosphate with solution II, pass through a 0.8 mm sieve, add III and press with low compression force."
Ibuprofen Tablets for Children (150 mg),"Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with medium compression force (17 kN)."
"Indomethacin Gel (1%), I","Dissolve indomethacin in Cremophor RH 40 at 60 - 70°C, add slowly the water (60 - 70°C) stirring well the mixture and dissolve Lutrol F 127. Cool to room temperature."
"Indomethacin Gel (1%), II","Heat solution I to about 70°C, dissolve II well stirring about 30 minutes, mix with III and cool. It forms a clear yellow gel."
Indomethacin Powder for Hard Gelatin Capsules (160 mg),Mix the components for about 10 min and fill in hard gelatin capsules to obtain 160 mg indomethacin in each capsule.
Indomethacin Suppositories (50 mg),"Prepare solution II, mix with the melted mixture I and fill into the moulds of suppositories."
"Indomethacin Tablets (50 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
"Indomethacin Tablets (50 mg), WG","Granulate mixture I with solution II, pass through a 0.8 mm sieve, add III and press with low compression force."
Indomethacin Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Inosin Tablet Cores (200 mg),"Granulate mixture I with the solvent II, dry, pass through a 0.8 mm sieve, add the components III and press with low compression force."
Isosorbide Dinitrate Tablets (5 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Khellin Tablets (25 mg),"Pass all components through a 0.8 mm sieve, mix intensively and press with low compression force (10 kN)."
Levamisole Tablets (150 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Levothyroxine Tablets (0.05 mg),"Prepare premix I, add II and pass the mixture through a 0.8 mm sieve. Mix and press with low compression force."
Lidocain Gel (2%),"Prepare solution I at room temperature, heat to 70 °C or cool to 6 °C and add slowly II to the well stirred solution until it is dissolved. Maintain the temperature until the air bubbles escaped."
Lidocain Gel-Cream (5%),Prepare solution I at room temperature and mix with II. Heat to 70 °C or cool to 6 °C and add slowly III to the well stirred solution until it is dis- solved. Maintain cool until the air bubbles escaped.
Lisinopril Tablets (10 mg),"Pass all components through a 0.8 mm sieve, mix intensively and press with low compactation force (10 kN)."
Magaldrate Chewable Tablets (500 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, dry, mix with III and press with low compression force."
Magaldrate Dispersible Tablets (700 mg),"Pass all components through a 0.8 mm sieve, mix and press with low compression force (4 - 6 kN)."
Magaldrate Instant Powder or Dry Syrup (800 mg),Granulate mixture I with solution II and pass through a 0.8 mm sieve to obtain free-flowing granules. Fill 2 g in sachets or 20 g in a 100 ml flask.
Magaldrate Suspension (10%),Dissolve or suspend all the solids in water under aseptic conditions.
Magnesium Carbonate Tablets (260 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
Mebendazol Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Mebendazole Suspension (2% = 200 mg/10 ml),Dissolve the parabens in water at 80 °C. After cooling to room tempera- ture add Lutrol F 127 whilst stirring. When the Lutrol F 127 is completely dissolved suspend Mebendazole in the solution.
Mefenamic Acid Tablets (250 mg),"Granulate mixture I with solution II, sieve, dry, add mixture III and press with medium compression force."
"Meprobamate + Phenobarbital Tablets (400 mg + 30 mg), DC","Pass all components through a 0.8 mm sieve, mix and press with low compression force."
"Meprobamate + Phenobarbital Tablets (400 mg + 30 mg), WG","Granulate mixture I with solution II, dry, pass through a 0.8 mm sieve, mix with III and press with low compression force."
"Meprobamate Tablets (400 mg), DC","Mix all components, pass through a 0.8 mm sieve and press with high compression force (20 KN)."
"Meprobamate Tablets (400 mg), WG","Granulate the mixture I with solution II, pass through a 0.8 mm sieve, add III and press."
Metamizol Tablets (500 mg),"Mix all components, pass through a 0.5 mm sieve and press with low compression force."
Metformin Tablets (500 mg),"Granulate the mixture I with solution II, mix with III, pass through a 0.8 mm sieve and press with medium compression force."
Methyl Cysteine Tablets (100 mg),"Mix all components, pass through a 0.8 mm sieve and press with low compression force."
Methyl Salicylate + Menthol Gel (11% + 5%),Dissolve II in solution I and mix with III. The clear gel can be diluted with water.
Metoclopramide Tablets (10 mg),"Mix all components, pass through a 0.8 mm sieve and press with medium compression force."
Metronidazole Effervescent Vaginal Tablets (500 mg),"Granulate I with solution II, pass through a 0.8 mm sieve, mix with III and press."
Metronidazol Injectable Solution (500 mg/10 ml),"Suspend I in the solution II, adjust pH 4.4 with III and heat until metro- nidazol is dissolved."
Metronidazole Tablet Cores (400 mg),"Mix all components, pass through a 0.8 mm sieve and press with high compression force (25 - 30 kN)."
Metronidazole Tablets (200 mg),"Mix all components, pass through a 0.8 mm sieve and press with high compression force (25 - 30 kN)."
Metronidazole Tablets (500 mg),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, dry, mix with III and press with medium compression force."
Metronidazol Vaginal Gel (1.2%),Heat mixture I to 70 - 80 °C and slowly add the water heated to about 70 °C. Maintain the temperature until the air bubbles disappeared.
Miconazole Cream (2%),"Heat the mixture I and the water II separately to about 80 °C. Add the water II to the obtained solution I with rigorous stirring. Heat III until the active ingredient is dissolved, mix with I/II and continue to stir during cooling to room temperature."
Miconazole Injectable Solution (1%),"Heat mixture I to about 65 °C, stir well and add slowly the hot solution II. After the ampoules have been heat-sterilized, they should be shaken for a short time, while they are still hot, to eliminate any separation of the phases that may have occurred. Sterilization can also be performed by membrane filtration under pressure."
Miconazole Mouth Gel (2%),Dissolve I in the molten mixture II. Heat solution III to 90 °C and mix slowly with I/II. Let cool to room temperature when the air bubbles escaped.
Mint Mouth Wash Solutions,"Mix the components I and heat to about 60 °C. Prepare solution II, heat to about 60 °C and add it slowly to the well stirred mixture I."
Mint Oil Solution (3.5%),"Mix the peppermint oil with Cremophor RH 40, stir well and add slowly ethanol and water."
Multivitamin + Calcium + Iron Tablets (1 RDA of Vitamins),"Mix all components, pass through a sieve and press to tablets."
Multivitamin + Calcium Syrup (1 RDA of Vitamins/20 ml),"Heat I and II separately to about 60 °C and mix slowly well stirring to obtain a clear solution. Dissolve III in the hot solution IV to obtain a clear solution. Mix the cool solutions I/II, III/IV and V and adjust the pH value to 4.0 - 4.1. Pass during 10 min nitrogen through the solution and fill in flasks under nitrogen."
Multivitamin + Carbonyl Iron Tablets (1- 2 RDA of Vitamins),"Mix all ingredients, pass through a 0.8 mm sieve, mix and press with high compression force (20 kN)."
Multivitamin + Minerals Tablets with Beta Carotene (2 RDA of Vitamins),"Mix all components, pass through a 0.8 mm sieve and press with high compression force."
Multivitamin Chewable Tablets for Children,"Mix all ingredients, pass through a 0.8 mm sieve and press with medium to high compression force (20 kN)."
Multivitamin Drops,"Heat mixture I to about 60 °C, stir strongly and add slowly solution II (60 °C). To the obtained clear solution add solution III. Adjust the pH with IV to about 4."
Multivitamin Effervescent Granules (1 RDA of Vitamins),"Granulate mixture I with solution II, pass through a 0.8 mm sieve, dry well and mix with III. Fill 3 - 4 g in sachets."
"Multivitamin Effervescent Tablets with Beta Carotene, Food (1- 2 RDA of Vitamins)","Granulate mixture I with solution II prepared at 70 ºC, dry and sieve, add III, pass through a 0.4 mm sieve and press with high compression force at maximum 30% of relative atmospheric humidity."
Multivitamin Effervescent Tablets I,"Granulate the mixture I with solution II, dry at 60 ºC with vacuum, mix with III and press with high compression force at maximum 30% of relative atmospheric humidity."
Multivitamin Effervescent Tablets II (3 - 4 RDA of Vitamins),"Mix all components, sieve through a 0.8 mm screen and press with high compression force at maximum 30% relative atmospheric humidity."
